ID,Nombre,DNI,Edad,Comedor
1,Ana Torres,12345678,35,Comedor San Juan
2,Beto Ríos,87654321,42,Comedor Esperanza
3,Carmen Díaz,11223344,29,Comedor San Juan
4,David López,44332211,50,Comedor Esperanza
5,Elena García,55667788,33,Comedor San Juan
6,Fernando Ruiz,99887766,45,Comedor Esperanza
7,Gloria Pérez,66778899,38,Comedor San Juan
8,Hugo Sánchez,33445566,41,Comedor Esperanza
9,Isabel Flores,77889900,27,Comedor San Juan
10,Juan Martínez,22334455,36,Comedor Esperanza
11,Karla Gómez,88990011,30,Comedor San Juan
12,Luis Ramírez,44556677,48,Comedor Esperanza
13,Marta Castillo,99001122,34,Comedor San Juan
14,Nicolás Herrera,55664433,39,Comedor Esperanza
15,Olga Moreno,66775544,31,Comedor San Juan
16,Pablo Vargas,33446655,43,Comedor Esperanza
17,Quinta Rojas,77880022,28,Comedor San Juan
18,Ricardo Silva,22335544,37,Comedor Esperanza
19,Sofía Cruz,88991133,32,Comedor San Juan
20,Diego Medina,44557788,44,Comedor Esperanza
